Date,Category,Region,Revenue,Units
2023-01-05,Electronics,North,12400,87
2023-01-12,Clothing,South,3850,142
2023-01-18,Electronics,East,9200,65
2023-01-25,Furniture,West,6700,18
2023-02-03,Clothing,North,4100,155
2023-02-10,Electronics,South,15300,108
2023-02-17,Furniture,East,8200,22
2023-02-24,Electronics,West,11800,83
2023-03-02,Clothing,North,5200,190
2023-03-09,Electronics,East,17400,122
2023-03-15,Furniture,South,5900,16
2023-03-22,Clothing,West,3600,133
2023-03-29,Electronics,North,14100,99
2023-04-06,Furniture,East,9800,27
2023-04-13,Clothing,South,6100,224
2023-04-20,Electronics,West,18200,128
2023-04-27,Electronics,North,13500,95
2023-05-04,Clothing,East,4700,173
2023-05-11,Furniture,South,7100,20
2023-05-18,Electronics,West,19600,138
2023-05-25,Clothing,North,5500,201
2023-06-01,Electronics,South,21000,147
2023-06-08,Furniture,East,10200,29
2023-06-15,Clothing,West,4300,158
2023-06-22,Electronics,North,16700,117
2023-06-29,Furniture,South,6400,18
2023-07-06,Clothing,East,7200,265
2023-07-13,Electronics,West,22500,158
2023-07-20,Electronics,North,18900,133
2023-07-27,Furniture,South,11100,31
2023-08-03,Clothing,East,6800,249
2023-08-10,Electronics,West,24100,169
2023-08-17,Electronics,North,20300,143
2023-08-24,Furniture,South,8700,24
2023-09-07,Clothing,East,5900,217
2023-09-14,Electronics,West,22800,160
2023-09-21,Electronics,North,17600,124
2023-09-28,Furniture,South,9300,26
2023-10-05,Clothing,West,6400,235
2023-10-12,Electronics,North,25200,177
2023-10-19,Electronics,East,19800,139
2023-10-26,Furniture,South,10500,29
2023-11-02,Clothing,West,7100,260
2023-11-09,Electronics,North,28400,199
2023-11-16,Electronics,East,23100,162
2023-11-23,Furniture,South,12200,34
2023-11-30,Clothing,North,8200,300
2023-12-07,Electronics,West,31500,221
2023-12-14,Electronics,East,27300,192
2023-12-21,Furniture,North,14800,41
2024-01-04,Clothing,South,5100,187
2024-01-11,Electronics,West,26800,188
2024-01-18,Electronics,East,22400,157
2024-01-25,Furniture,North,11300,32
2024-02-01,Clothing,South,6200,228
2024-02-08,Electronics,West,29100,204
2024-02-15,Electronics,East,24700,173
2024-02-22,Furniture,North,13400,37
2024-03-07,Clothing,South,7600,279
2024-03-14,Electronics,West,33200,233
2024-03-21,Electronics,East,28100,197
2024-03-28,Furniture,North,15900,44
2024-04-04,Clothing,South,8400,308
2024-04-11,Electronics,West,35700,250
2024-04-18,Electronics,East,30500,214
2024-04-25,Furniture,North,17200,48
2024-05-02,Clothing,South,9100,334
2024-05-09,Electronics,West,37900,266
2024-05-16,Electronics,East,32800,230
2024-05-23,Furniture,North,18700,52
2024-06-06,Clothing,South,9800,360
2024-06-13,Electronics,West,40100,281
2024-06-20,Electronics,East,35000,245
2024-06-27,Furniture,North,20100,56
